Number,Name,Latitude,Longitude,District,Public,Total docks
OVERRIDE00001,Ferry St at Pleasantview Ave,42.4091487775453,-71.0459768400506,Everett,1,15
OVERRIDE00002,Norman St at Kelvin St,42.4058117170059,-71.0670885072068,Everett,1,15
OVERRIDE00003,Washington St at Griggs Rd,42.338334237199,-71.130509302202,Brookline,1,15
OVERRIDE00004,Central Square East Boston - Porter Street at London Street,42.37430132,-71.03808671,Boston,1,15
OVERRIDE00005,University of Massachusetts Boston - Integrated Sciences Complex,42.314507,-71.041269,Boston,1,19
A32046,Canal St at Causeway St,42.3651017058574,-71.0612105401916,Boston,1,
D32058,Brighton Ave at Linden St,42.3528109704612,-71.1296672040134,Boston,1,
M32089,Moore Youth Center,42.3635116605225,-71.111668312632,Cambridge,1,
E32016,Commonwealth Ave at Naples Rd,42.3518775090064,-71.1237495426633,Boston,1,
A32047,Broad St at Central St,42.3582821707529,-71.0547594766938,Boston,1,
M32090,O'Brien Highway at First Street,42.3707624104724,-71.0765529867036,Cambridge,1,
M32092,Elevate at One Leighton,42.3698725496271,-71.0738744519301,Cambridge,1,
D32055,Boylston St at Dartmouth St,42.3503062987835,-71.0776220604462,Boston,1,
